Date dd/mm/yyyy,Startup Name,Industry Vertical,Location,Investors Name,InvestmentnType,Amount in USD
09/01/2020,BYJU’S,E-Tech,Bengaluru,Tiger Global Management,Private Equity Round,19.11382792451231
13/01/2020,Shuttl,Transportation,Gurgaon,Susquehanna Growth Equity,Series C,15.900983126385764
09/01/2020,Mamaearth,E-commerce,Bengaluru,Sequoia Capital India,Series B,16.725622849725593
02/01/2020,Wealth Bucket,FinTech,New Delhi,Vinod Khatumal,Pre-series A,14.914122846632385
02/01/2020,Fashor,Fashion and Apparel,Mumbai,Sprout Venture Partners,Seed Round,14.403297222866392
13/01/2020,Pando,Logistics,Chennai,Chiratae Ventures,Series A,16.012735135300492
10/01/2020,Zomato,Hospitality,Gurgaon,Ant Financial,Private Equity Round,18.82614585206053
12/12/2019,Ecozen,Technology,Pune,Sathguru Catalyzer Advisors,Series A,15.60727002719233
06/12/2019,CarDekho,E-Commerce,Gurgaon,Ping An Global Voyager Fund,Series D,18.064005800013632
03/12/2019,Dhruva Space,Aerospace,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,17.72753356339242
13/12/2019,Rivigo,Technology,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,16.811242831518264
17/12/2019,Healthians,B2B-focused foodtech startup,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,16.300417207752275
16/12/2019,Licious,E-Commerce,Bengaluru,Vertex Growth Fund,Series E,17.216707939626428
16/12/2019,InCred,Finance,Mumbai,Unknown,Debt Funding,15.590462908875947
14/12/2019,Trell,Video,Bengaluru,Ruizheng Investment,Seed Round,14.508657738524219
11/12/2019,Rein Games,Gaming,Noida,Manipal Education and Medical Group (MEMG),Seed Round,17.72753356339242
20/12/2019,Lenskart.com,E-Commerce,Faridabad,SoftBank Vision Fund,Series G,19.25792826848607
13/11/2019,Freshworks,Software,San Francisco,"Sequoia, CapitalG, Accel",Series H,18.82614585206053
14/11/2019,Misters,Health and wellness,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,13.093963902882631
13/11/2019,Sunstone Eduversity Pvt. Ltd,Education,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,14.22097566607244
17/11/2019,Burger Singh,Food and Beverage,Gurgaon,RB Investments,Venture,0.0
18/11/2019,Healthians,Health and Wellness,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,16.300417207752275
15/11/2019,Ninjacart,B2B Marketing,Bengaluru,Trifecta Capital Advisors,Debt Funding,17.073607095985757
20/11/2019,Aye Finance,FinTech,Gurgaon,FinTech,Debt Funding,16.67262796849596
12/11/2019,SuperGaming,Video Games,Pune,Dream Incubator,Seed Funding,14.077874822431765
20/11/2019,Clumio,SaaS,Multiple Cities,"Altimeter Capital, Sutter Hill Ventures",Series C,18.720785336402702
11/11/2019,eBikeGo,Last Mile Transportation,Amritsar,Startup Buddy,Seed,12.611537753638338
19/11/2019,Digital Mall Asia,E-Commerce,Delhi,Amour Infrastructure,Seed Funding,19.209138104316636
18/11/2019,Medikabazaar,Healthcare,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,16.575520497997196
15/11/2019,Vogo Automotive,Last Mile Transportation,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,19.460957455607513
19/11/2019,Furtados School of Music,Education,Tulangan,IAN Fund and DSG Consumer Partners,Seed Funding,19.11382792451231
25/11/2019,Paytm,FinTech,Noida,Vijay Shekhar Sharma,Funding Round,20.72326583694641
04/10/2019,Dunzo,Customer Service,Bengaluru,Lightbox,Series D,17.622173047734595
02/10/2019,Udaan,B2B,Bengaluru,"Altimeter Capital, DST Global",Series D,20.18712240519613
21/10/2019,The Man Company,Consumer Goods,Gurgaon,Ayushmann Khurana,Corporate Round,0.0
05/09/2019,FPL Technologies,FinTech,Pune,"Matrix Partners India, Sequoia India",Maiden Round,15.319587954740548
04/09/2019,Cashflo,FinTech,Mumbai,SAIF Partners,Series A,15.009433026436708
04/09/2019,Digital F5,"Advertising, Marketing",Mumbai,TIW Private Equity,Private Equity Round,15.60727002719233
04/09/2019,3rdFlix,SaaS,Hyderabad,Exfinity Venture Partners,pre-series A,15.424948470398375
04/09/2019,75F,IoT,Burnsville,Breakthrough Energy Ventures,Series A,16.70588231586044
04/09/2019,Myelin Foundry,Information Technology,Bengaluru,Endiya Partners,Seed,13.815510557964274
04/09/2019,Atomberg Technology,Consumer Technology,Mumbai,A91 Partners,Series A,16.11809565095832
04/09/2019,GOQii,Health and Wellness,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,19.92475814072864
03/09/2019,Vyapar App,Accounting,Bengaluru,"India Quotient, Axilor Ventures",Series A,15.424948470398375
01/08/2019,CarDekho,E-Commerce,Gurgaon,SC GG India Mobility Holdings LLC,Series C,16.811242831518264
01/08/2019,Progcap,Finance,New Delhi,Sequoia India,Series A,15.424948470398375
01/08/2019,MyPetrolPump,Retail,Bengaluru,Unknown,Seed Funding Round,14.28551418721001
01/08/2019,Alteria Capital,Finance,Mumbai,"Azim Premji, Binny Bansal",Single Venture,18.75715298057358
01/08/2019,Pine Labs,Information Technology,Noida,Pine Labs Pte Ltd,Corporate Round,17.45519976788744
12/08/2019,Meesho,E-Commerce,Bengaluru,Naspers,Series D,18.643824295266576
13/08/2019,Cars24,E-Commerce,Gurugram,MS Dhoni,Series D,16.213405830762646
13/08/2019,Uniphore,Customer Service Platform,Palo Alto,March Capital Partners,Series C,17.7473361906886
23/08/2019,Zendrive,Automotive,San Francisco,XL Innovate,Series B,17.4264284706085
23/08/2019,Lo! Foods,Consumer Goods,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,13.122363377404328
23/08/2019,Tala,FinTech,Santa Monica,RPS Ventures,Series D,18.51599092375669
22/08/2019,INDwealth,FinTech,Gurgaon,Tiger Global Management,Venture Round,16.523560759066484
21/08/2019,HungerBox,Food and Beverage,Bengaluru,One97 Communications Ltd.,Series C,15.70106390647869
23/08/2019,AdmitKard,EdTech,Noida,Growth DNA,Seed Round,13.815510557964274
19/08/2019,Mishry Reviews,Services,Gurgaon,Vir Sanghvi,Series A,0.0
19/08/2019,Grofers,E-Commerce,Gurgaon,Softbank Vision Fund,Series F,18.064005800013632
27/08/2019,Rapido Bike Taxi,Transportation,Bengaluru,Westbridge Capital,Series B,22.08424239008201
02/07/2019,RenewBuy,Finance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,16.759949537130716
02/07/2019,Atlan,Information Technology,Singapore,WaterBridge Ventures,Pre-Series A,14.73180128983843
01/07/2019,WizCounsel,Compliance,New Delhi,Kapil Dev,Angel,11.884489021402711
03/07/2019,Ola Cabs,Transport,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,13.815510557964274
01/07/2019,Uniphore,Artificial Intelligence,Taramani,March Capital Partners,Series C,17.45519976788744
04/07/2019,Daalchini Technologies,Food and Beverage,New Delhi,Artha Venture,Seed Round,13.122363377404328
10/07/2019,"""BYJU'S""",EdTech,Bengaluru,Qatar Investment Authority,Private Equity Round,18.82614585206053
11/07/2019,Moglix,E-Commerce,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,17.909855120186375
10/07/2019,Ezyhaul,Tech,Singapore,Undisclosed,Series B,16.588099280204055
10/07/2019,Indus OS,Tech,Andheri,Ventureast,Series B,15.564710412773533
10/07/2019,HealthAssure,Health Care,Mumbai,Blume Ventures,Series A,14.73180128983843
09/07/2019,House of Msasaba,Luxury Label,Mumbai,Binny Bansal,Series A,13.815510557964274
08/07/2019,Board Infinity,EdTech,Chembur,Multiple Angel Investors,Angel Round,12.674841137307576
05/06/2019,NoBroker,E-Commerce,Bengaluru,General Atlantic,Series C,17.7473361906886
04/06/2019,Bira91,Food and Beverage,New Delhi,Anicut Capital,Debt Funding,16.11809565095832
